"2 Sm 6:12b-15, 17-19/Mk 3:31-35 (318)"
2 Sm 7:4-17/Mk 4:1-20 (319)
Acts 22:3-16 or Acts 9:1-22/Mk 16:15-18 (519)
2 Tm 1:1-8 or Ti 1:1-5 (520)/Mk 4:26-34 (321)
"2 Sm 12:1-7a, 10-17/Mk 4:35-41 (322)"
Dt 18:15-20/1 Cor 7:32-35/Mk 1:21-28 (71)
"2 Sm 15:13-14, 30; 16:5-13/Mk 5:1-20 (323)"
"2 Sm 18:9-10, 14b, 24-25a, 30—19:3/Mk 5:21-43 (324)"
"2 Sm 24:2, 9-17/Mk 6:1-6 (325)"
"1 Kgs 2:1-4, 10-12/Mk 6:7-13 (326)"
Mal 3:1-4/Heb 2:14-18/Lk 2:22-40 or 2:22-32 (524)
1 Kgs 3:4-13/Mk 6:30-34 (328)
"Jb 7:1-4, 6-7/1 Cor 9:16-19, 22-23/Mk 1:29-39 (74)"
"1 Kgs 8:1-7, 9-13/Mk 6:53-56 (329)"
"1 Kgs 8:22-23, 27-30/Mk 7:1-13 (330)"
1 Kgs 10:1-10/Mk 7:14-23 (331)
1 Kgs 11:4-13/Mk 7:24-30 (332)
1 Kgs 11:29-32; 12:19/Mk 7:31-37 (333)
1 Kgs 12:26-32; 13:33-34/Mk 8:1-10 (334)
"Lv 13:1-2, 44-46/1 Cor 10:31—11:1/Mk 1:40-45 (77)"
Jas 1:1-11/Mk 8:11-13 (335)
Jas 1:12-18/Mk 8:14-21 (336)
"Jl 2:12-18/2 Cor 5:20—6:2/Mt 6:1-6, 16-18 (219)"
Dt 30:15-20/Lk 9:22-25 (220)
Is 58:1-9a/Mt 9:14-15 (221)
Is 58:9b-14/Lk 5:27-32 (222)
Gn 9:8-15/1 Pt 3:18-22/Mk 1:12-15 (23)
"Lv 19:1-2, 11-18/Mt 25:31-46 (224)"
Is 55:10-11/Mt 6:7-15 (225)
Jon 3:1-10/Lk 11:29-32 (226)
1 Pt 5:1-4/Mt 16:13-19 (535)
Ez 18:21-28/Mt 5:20-26 (228)
Dt 26:16-19/Mt 5:43-48 (229)
"Gn 22:1-2, 9a, 10-13, 15-18/Rom 8:31b-34/Mk 9:2-10 (26)"
Dn 9:4b-10/Lk 6:36-38 (230)
"Is 1:10, 16-20/Mt 23:1-12 (231)"
Jer 18:18-20/Mt 20:17-28 (232)
Jer 17:5-10/Lk 16:19-31 (233)
"Gn 37:3-4, 12-13a, 17b-28a/Mt 21:33-43, 45-46 (234)"
"Mi 7:14-15, 18-20/Lk 15:1-3, 11-32 (235)"
"Ex 20:1-17 or 20:1-3, 7-8, 12-17/1 Cor 1:22-25/Jn 2:13-25 (29)"
2 Kgs 5:1-15ab/Lk 4:24-30 (237)
"Dn 3:25, 34-43/Mt 18:21-35 (238)"
"Dt 4:1, 5-9/Mt 5:17-19 (239)"
Jer 7:23-28/Lk 11:14-23 (240)
Hos 14:2-10/Mk 12:28-34 (241)
Hos 6:1-6/Lk 18:9-14 (242)
"2 Chr 36:14-16, 19-23/Eph 2:4-10/Jn 3:14-21 (32)"
Pss IV 
Is 65:17-21/Jn 4:43-54 (244)
"Ez 47:1-9, 12/Jn 5:1-16 (245)"
Is 49:8-15/Jn 5:17-30 (246)
Ex 32:7-14/Jn 5:31-47 (247)
"Wis 2:1a, 12-22/Jn 7:1-2, 10, 25-30 (248)"
Jer 11:18-20/Jn 7:40-53 (249)
Jer 31:31-34/Heb 5:7-9/Jn 12:20-33 (35)
"Dn 13:1-9, 15-17, 19-30, 33-62 or 13:41c-62/Jn 8:1-11 (251)"
"2 Sm 7:4-5a, 12-14a, 16/Rom 4:13, 16-18, 22/Mt 1:16, 18-21, 24a or Lk 2:41-51a (543)"
"Dn 3:14-20, 91-92, 95/Jn 8:31-42 (253)"
Gn 17:3-9/Jn 8:51-59 (254)
Jer 20:10-13/Jn 10:31-42 (255)
Ez 37:21-28/Jn 11:45-56 (256)
Mk 11:1-10 or Jn 12:12-16 (37)/Is 50:4-7/Phil 2:6-11/Mk 14:1—15:47 or 15:1-39 (38)
Is 42:1-7/Jn 12:1-11 (257)
"Is 49:1-6/Jn 13:21-33, 36-38 (258)"
Is 50:4-9a/Mt 26:14-25 (259)
"Chrism Mass: Is 61:1-3a, 6a, 8b-9/Rv 1:5-8/Lk 4:16-21 (260)"
Is 52:13—53:12/Heb 4:14-16; 5:7-9/Jn 18:1—19:42 (40)
"Easter Vigil: Gn 1:1—2:2 or 1:1, 26-31a/Gn 22:1-18 or 22:1-2, 9a, 10-13, 15-18/"
"Acts 10:34a, 37-43/Col 3:1-4 or 1 Cor 5:6b-8/Jn 20:1-9 (42) or Mk 16:1-7 (41)"
"Acts 2:14, 22-33/Mt 28:8-15 (261)"
Acts 2:36-41/Jn 20:11-18 (262)
Acts 3:1-10/Lk 24:13-35 (263)
Acts 3:11-26/Lk 24:35-48 (264)
Acts 4:1-12/Jn 21:1-14 (265)
Acts 4:13-21/Mk 16:9-15 (266)
Acts 4:32-35/1 Jn 5:1-6/Jn 20:19-31 (44)
Is 7:10-14; 8:10/Heb 10:4-10/Lk 1:26-38 (545)
Acts 4:32-37/Jn 3:7b-15 (268)
Acts 5:17-26/Jn 3:16-21 (269)
Acts 5:27-33/Jn 3:31-36 (270)
Acts 5:34-42/Jn 6:1-15 (271)
Acts 6:1-7/Jn 6:16-21 (272)
"Acts 3:13-15, 17-19/1 Jn 2:1-5a/Lk 24:35-48 (47)"
Acts 6:8-15/Jn 6:22-29 (273)
Acts 7:51—8:1a/Jn 6:30-35 (274)
Acts 8:1b-8/Jn 6:35-40 (275)
Acts 8:26-40/Jn 6:44-51 (276)
Acts 9:1-20/Jn 6:52-59 (277)
Acts 9:31-42/Jn 6:60-69 (278)
Acts 4:8-12/1 Jn 3:1-2/Jn 10:11-18 (50)
Acts 11:1-18/Jn 10:1-10 (279)
Acts 11:19-26/Jn 10:22-30 (280)
Acts 12:24—13:5a/Jn 12:44-50 (281)
1 Pt 5:5b-14/Mk 16:15-20 (555)
Acts 13:26-33/Jn 14:1-6 (283)
Acts 13:44-52/Jn 14:7-14 (284)
Acts 9:26-31/1 Jn 3:18-24/Jn 15:1-8 (53)
Acts 14:5-18/Jn 14:21-26 (285)
Acts 14:19-28/Jn 14:27-31a (286)
Acts 15:1-6/Jn 15:1-8 (287)
Acts 15:7-21/Jn 15:9-11 (288)
1 Cor 15:1-8/Jn 14:6-14 (561)
Acts 16:1-10/Jn 15:18-21 (290)
"Acts 10:25-26, 34-35, 44-48/1 Jn 4:7-10/Jn 15:9-17 (56)"
Acts 16:11-15/Jn 15:26—16:4a (291)
Acts 16:22-34/Jn 16:5-11 (292)
"Acts 17:15, 22—18:1/Jn 16:12-15 (293)"
"Acts 1:1-11/Eph 1:17-23 or Eph 4:1-13 or 4:1-7, 11-13/Mk 16:15-20 (58)"
Acts 18:1-8/Jn 16:16-20 (294)
Acts 18:9-18/Jn 16:20-23 (295)
Acts 18:23-28/Jn 16:23b-28 (296)
"Acts 1:15-17, 20a, 20c-26/1 Jn 4:11-16/Jn 17:11b-19 (60)"
"Acts 1:1-11/Eph 1:17-23 or Eph 4:1-13 or 4:1-7, 11-13/Mk 16:15-20 (58)"
Acts 19:1-8/Jn 16:29-33 (297)
"Acts 1:15-17, 20-26/Jn 15:9-17 (564)"
Acts 20:28-38/Jn 17:11b-19 (299)
Acts 22:30; 23:6-11/Jn 17:20-26 (300)
Acts 25:13b-21/Jn 21:15-19 (301)
"Morning: Acts 28:16-20, 30-31/Jn 21:20-25 (302)"
"Vigil: Gn 11:1-9 or Ex 19:3-8a, 16-20b or Ez 37:1-14 or Jl 3:1-5/Rom 8:22-27/Jn 7:37-39 (62)"
"Gn 3:9-15, 20 or Acts 1:12-14/Jn 19:25-34 (572A, see USCCB.org/motherofthechurch)"
Jas 4:1-10/Mk 9:30-37 (342)
Jas 4:13-17/Mk 9:38-40 (343)
Jas 5:1-6/Mk 9:41-50 (344)
Jas 5:9-12/Mk 10:1-12 (345)
Jas 5:13-20/Mk 10:13-16 (346)
"Dt 4:32-34, 39-40/Rom 8:14-17/Mt 28:16-20 (165)"
1 Pt 1:3-9/Mk 10:17-27 (347)
1 Pt 1:10-16/Mk 10:28-31 (348)
1 Pt 1:18-25/Mk 10:32-45 (349)
"1 Pt 2:2-5, 9-12/Mk 10:46-52 (350)"
Zep 3:14-18a or Rom 12:9-16/Lk 1:39-56 (572)
"Jude 17, 20b-25/Mk 11:27-33 (352)"
"Ex 24:3-8/Heb 9:11-15/Mk 14:12-16, 22-26 (168)"
2 Pt 1:2-7/Mk 12:1-12 (353)
"2 Pt 3:12-15a, 17-18/Mk 12:13-17 (354)"
"2 Tm 1:1-3, 6-12/Mk 12:18-27 (355)"
2 Tm 2:8-15/Mk 12:28-34 (356)
"Hos 11:1, 3-4, 8c-9/Eph 3:8-12, 14-19/Jn 19:31-37 (171)"
2 Tm 4:1-8 (358)/Lk 2:41-51 (573)
Gn 3:9-15/2 Cor 4:13—5:1/Mk 3:20-35 (89)
1 Kgs 17:1-6/Mt 5:1-12 (359)
Acts 11:21b-26; 13:1-3 (580)/Mt 5:13-16 (360)
1 Kgs 18:20-39/Mt 5:17-19 (361)
1 Kgs 18:41-46/Mt 5:20-26 (362)
"1 Kgs 19:9a, 11-16/Mt 5:27-32 (363)"
1 Kgs 19:19-21/Mt 5:33-37 (364)
Ez 17:22-24/2 Cor 5:6-10/Mk 4:26-34 (92)
1 Kgs 21:1-16/Mt 5:38-42 (365)
1 Kgs 21:17-29/Mt 5:43-48 (366)
"2 Kgs 2:1, 6-14/Mt 6:1-6, 16-18 (367)"
Sir 48:1-14/Mt 6:7-15 (368)
"2 Kgs 11:1-4, 9-18, 20/Mt 6:19-23 (369)"
2 Chr 24:17-25/Mt 6:24-34 (370)
"Jb 38:1, 8-11/2 Cor 5:14-17/Mk 4:35-41 (95)"
"Is 49:1-6/Acts 13:22-26/Lk 1:57-66, 80 (587)"
"2 Kgs 19:9b-11, 14-21, 31-35a, 36/Mt 7:6, 12-14 (372)"
2 Kgs 22:8-13; 23:1-3/Mt 7:15-20 (373)
2 Kgs 24:8-17/Mt 7:21-29 (374)
2 Kgs 25:1-12/Mt 8:1-4 (375)
Vigil: Acts 3:1-10/Gal 1:11-20/Jn 21:15-19 (590)
"Wis 1:13-15; 2:23-24/2 Cor 8:7, 9, 13-15/Mk 5:21-43 or 5:21-24, 35b-43 (98)"
"Am 2:6-10, 13-16/Mt 8:18-22 (377)"
Am 3:1-8; 4:11-12/Mt 8:23-27 (378)
Eph 2:19-22/Jn 20:24-29 (593)
Am 7:10-17/Mt 9:1-8 (380)
"Am 8:4-6, 9-12/Mt 9:9-13 (381)"
Am 9:11-15/Mt 9:14-17 (382)
Ez 2:2-5/2 Cor 12:7-10/Mk 6:1-6a (101)
"Hos 2:16, 17c-18, 21-22/Mt 9:18-26 (383)"
"Hos 8:4-7, 11-13/Mt 9:32-38 (384)"
"Hos 10:1-3, 7-8, 12/Mt 10:1-7 (385)"
"Hos 11:1-4, 8e-9/Mt 10:7-15 (386)"
Hos 14:2-10/Mt 10:16-23 (387)
Is 6:1-8/Mt 10:24-33 (388)
Am 7:12-15/Eph 1:3-14 or 1:3-10/Mk 6:7-13 (104)
Is 1:10-17/Mt 10:34—11:1 (389)
Is 7:1-9/Mt 11:20-24 (390)
"Is 10:5-7, 13b-16/Mt 11:25-27 (391)"
"Is 26:7-9, 12, 16-19/Mt 11:28-30 (392)"
"Is 38:1-6, 21-22, 7-8/Mt 12:1-8 (393)"
Mi 2:1-5/Mt 12:14-21 (394)
Jer 23:1-6/Eph 2:13-18/Mk 6:30-34 (107)
"Sg 3:1-4b or 2 Cor 5:14-17/Jn 20:1-2, 11-18 (603)"
"Mi 7:14-15, 18-20/Mt 12:46-50 (396)"
"Jer 1:1, 4-10/Mt 13:1-9 (397)"
2 Cor 4:7-15/Mt 20:20-28 (605)
Jer 3:14-17/Mt 13:18-23 (399)
Jer 7:1-11/Mt 13:24-30 (400)
2 Kgs 4:42-44/Eph 4:1-6/Jn 6:1-15 (110)
Jer 13:1-11(401)/Jn 11:19-27 or Lk 10:38-42 (607)
Jer 14:17-22/Mt 13:36-43 (402)
"Jer 15:10, 16-21/Mt 13:44-46 (403)"
Jer 18:1-6/Mt 13:47-53 (404)
Jer 26:1-9/Mt 13:54-58 (405)
"Jer 26:11-16, 24/Mt 14:1-12 (406)"
"Ex 16:2-4, 12-15/Eph 4:17, 20-24/Jn 6:24-35 (113)"
Jer 28:1-17/Mt 14:13-21 (407)
"Dn 7:9-10, 13-14/2 Pt 1:16-19/Mk 9:2-10 (614)"
Jer 31:1-7/Mt 15:21-28 (409)
Jer 31:31-34/Mt 16:13-23 (410)
"Na 2:1, 3; 3:1-3, 6-7/Mt 16:24-28 (411)"
2 Cor 9:6-10/Jn 12:24-26 (618)
1 Kgs 19:4-8/Eph 4:30—5:2/Jn 6:41-51 (116)
"Ez 1:2-5, 24-28c/Mt 17:22-27 (413)"
"Ez 2:8—3:4/Mt 18:1-5, 10, 12-14 (414)"
Ez 9:1-7; 10:18-22/Mt 18:15-20 (415)
"Vigil: 1 Chr 15:3-4, 15-16; 16:1-2/1 Cor 15:54b-57/Lk 11:27-28 (621)"
"Ez 16:1-15, 60, 63 or 16:59-63/Mt 19:3-12 (417)"
"Ez 18:1-10, 13b, 30-32/Mt 19:13-15 (418)"
Prv 9:1-6/Eph 5:15-20/Jn 6:51-58 (119)
Ez 24:15-23/Mt 19:16-22 (419)
Ez 28:1-10/Mt 19:23-30 (420)
Ez 34:1-11/Mt 20:1-16 (421)
Ez 36:23-28/Mt 22:1-14 (422)
Ez 37:1-14/Mt 22:34-40 (423)
Rv 21:9b-14/Jn 1:45-51 (629)
"Jos 24:1-2a, 15-17, 18b/Eph 5:21-32 or 5:2a, 25-32/Jn 6:60-69 (122)"
"2 Thes 1:1-5, 11-12/Mt 23:13-22 (425)"
"2 Thes 2:1-3a, 14-17/Mt 23:23-26 (426)"
"2 Thes 3:6-10, 16-18/Mt 23:27-32 (427)"
1 Cor 1:1-9 (428)/Mk 6:17-29 (634)
1 Cor 1:17-25/Mt 25:1-13 (429)
1 Cor 1:26-31/Mt 25:14-30 (430)
"Dt 4:1-2, 6-8/Jas 1:17-18, 21b-22, 27/Mk 7:1-8, 14-15, 21-23 (125)"
1 Cor 2:1-5/Lk 4:16-30 (431)
1 Cor 2:10b-16/Lk 4:31-37 (432)
1 Cor 3:1-9/Lk 4:38-44 (433)
1 Cor 3:18-23/Lk 5:1-11 (434)
1 Cor 4:1-5/Lk 5:33-39 (435)
1 Cor 4:6b-15/Lk 6:1-5 (436)
Is 35:4-7a/Jas 2:1-5/Mk 7:31-37 (128)
1 Cor 5:1-8/Lk 6:6-11 (437)
1 Cor 6:1-11/Lk 6:12-19 (438)
1 Cor 7:25-31/Lk 6:20-26 (439)
"1 Cor 8:1b-7, 11-13/Lk 6:27-38 (440)"
"1 Cor 9:16-19, 22b-27/Lk 6:39-42 (441)"
Nm 21:4b-9/Phil 2:6-11/Jn 3:13-17 (638)
Is 50:4c-9a/Jas 2:14-18/Mk 8:27-35 (131)
"1 Cor 11:17-26, 33/Lk 7:1-10 (443)"
"1 Cor 12:12-14, 27-31a/Lk 7:11-17 (444)"
1 Cor 12:31—13:13/Lk 7:31-35 (445)
1 Cor 15:1-11/Lk 7:36-50 (446)
1 Cor 15:12-20/Lk 8:1-3 (447)
"Eph 4:1-7, 11-13/Mt 9:9-13 (643)"
"Wis 2:12, 17-20/Jas 3:16—4:3/Mk 9:30-37 (134)"
Prv 3:27-34/Lk 8:16-18 (449)
"Prv 21:1-6, 10-13/Lk 8:19-21 (450)"
Prv 30:5-9/Lk 9:1-6 (451)
Eccl 1:2-11/Lk 9:7-9 (452)
Eccl 3:1-11/Lk 9:18-22 (453)
Eccl 11:9—12:8/Lk 9:43b-45 (454)
"Nm 11:25-29/Jas 5:1-6/Mk 9:38-43, 45, 47-48 (137)"
Jb 1:6-22/Lk 9:46-50 (455)
"Jb 3:1-3, 11-17, 20-23/Lk 9:51-56 (456)"
"Jb 9:1-12, 14-16 (457)/Mt 18:1-5, 10 (650)"
Jb 19:21-27/Lk 10:1-12 (458)
"Jb 38:1, 12-21; 40:3-5/Lk 10:13-16 (459)"
"Jb 42:1-3, 5-6, 12-17/Lk 10:17-24 (460)"
Gn 2:18-24/Heb 2:9-11/Mk 10:2-16 or 10:2-12 (140)
Gal 1:6-12/Lk 10:25-37 (461)
Gal 1:13-24/Lk 10:38-42 (462)
"Gal 2:1-2, 7-14/Lk 11:1-4 (463)"
Gal 3:1-5/Lk 11:5-13 (464)
Gal 3:7-14/Lk 11:15-26 (465)
Gal 3:22-29/Lk 11:27-28 (466)
Wis 7:7-11/Heb 4:12-13/Mk 10:17-30 or 10:17-27 (143)
"Gal 4:22-24, 26-27, 31—5:1/Lk 11:29-32 (467)"
Gal 5:1-6/Lk 11:37-41 (468)
Gal 5:18-25/Lk 11:42-46 (469)
Eph 1:1-10/Lk 11:47-54 (470)
2 Tm 4:10-17b/Lk 10:1-9 (661)
Eph 1:15-23/Lk 12:8-12 (472)
Is 53:10-11/Heb 4:14-16/Mk 10:35-45 or 10:42-45 (146)
Eph 2:1-10/Lk 12:13-21 (473)
Eph 2:12-22/Lk 12:35-38 (474)
Eph 3:2-12/Lk 12:39-48 (475)
Eph 3:14-21/Lk 12:49-53 (476)
Eph 4:7-16/Lk 13:1-9 (478)
Jer 31:7-9/Heb 5:1-6/Mk 10:46-52 (149)
Eph 2:19-22/Lk 6:12-16 (666)
Eph 5:21-33/Lk 13:18-21 (480)
Eph 6:1-9/Lk 13:22-30 (481)
Eph 6:10-20/Lk 13:31-35 (482)
"Rv 7:2-4, 9-14/1 Jn 3:1-3/Mt 5:1-12a (667)"
Any readings from no. 668 or from the Masses for the Dead (1011-1016)
Dt 6:2-6/Heb 7:23-28/Mk 12:28b-34 (152)
Phil 2:1-4/Lk 14:12-14 (485)
Phil 2:5-11/Lk 14:15-24 (486)
Phil 2:12-18/Lk 14:25-33 (487)
Phil 3:3-8a/Lk 15:1-10 (488)
Phil 3:17—4:1/Lk 16:1-8 (489)
"Ez 47:1-2, 8-9, 12/1 Cor 3:9c-11, 16-17/Jn 2:13-22 (671)"
1 Kgs 17:10-16/Heb 9:24-28/Mk 12:38-44 or 12:41-44 (155)
Ti 1:1-9/Lk 17:1-6 (491)
"Ti 2:1-8, 11-14/Lk 17:7-10 (492)"
Ti 3:1-7/Lk 17:11-19 (493)
Phlm 7-20/Lk 17:20-25 (494)
2 Jn 4-9/Lk 17:26-37 (495)
3 Jn 5-8/Lk 18:1-8 (496)
"Dn 12:1-3/Heb 10:11-14, 18/Mk 13:24-32 (158)"
Rv 1:1-4; 2:1-5/Lk 18:35-43 (497)
"Rv 3:1-6, 14-22/Lk 19:1-10 (498)"
Rv 4:1-11/Lk 19:11-28 (499)
Rv 5:1-10/Lk 19:41-44 (500)
Rv 10:8-11/Lk 19:45-48 (501)
Rv 11:4-12/Lk 20:27-40 (502)
Dn 7:13-14/Rv 1:5-8/Jn 18:33b-37 (161)
"Rv 14:1-3, 4b-5/Lk 21:1-4 (503)"
Rv 14:14-19/Lk 21:5-11 (504)
Rv 15:1-4/Lk 21:12-19 (505)
"Rv 18:1-2, 21-23; 19:1-3, 9a/Lk 21:20-28 (506)"
"Rv 20:1-4, 11—21:2/Lk 21:29-33 (507)"
Rom 10:9-18/Mt 4:18-22 (684)
"Jer 33:14-16/1 Thes 3:12—4:2/Lk 21:25-28, 34-36 (3)"
Is 2:1-5/Mt 8:5-11 (175)
Is 11:1-10/Lk 10:21-24 (176)
Is 25:6-10a/Mt 15:29-37 (177)
"Is 26:1-6/Mt 7:21, 24-27 (178)"
Is 29:17-24/Mt 9:27-31 (179)
"Is 30:19-21, 23-26/Mt 9:35—10:1, 5a, 6-8 (180)"
"Bar 5:1-9/Phil 1:4-6, 8-11/Lk 3:1-6 (6)"
"Gn 3:9-15, 20/Eph 1:3-6, 11-12/Lk 1:26-38 (689)"
Is 40:1-11/Mt 18:12-14 (182)
Is 40:25-31/Mt 11:28-30 (183)
"Zec 2:14-17 or Rv 11:19a; 12:1-6a, 10ab/Lk 1:26-38 or Lk 1:39-47 (690A)"
Is 48:17-19/Mt 11:16-19 (185)
"Sir 48:1-4, 9-11/Mt 17:9a, 10-13 (186)"
Zep 3:14-18a/Phil 4:4-7/Lk 3:10-18 (9)
"Nm 24:2-7, 15-17a/Mt 21:23-27 (187)"
"Gn 49:2, 8-10/Mt 1:1-17 (193)"
Jer 23:5-8/Mt 1:18-25 (194)
"Jgs 13:2-7, 24-25a/Lk 1:5-25 (195)"
Is 7:10-14/Lk 1:26-38 (196)
Sg 2:8-14 or Zep 3:14-18a/Lk 1:39-45 (197)
Mi 5:1-4a/Heb 10:5-10/Lk 1:39-45 (12)
"Mal 3:1-4, 23-24/Lk 1:57-66 (199)"
"Morning: 2 Sm 7:1-5, 8b-12, 14a, 16/Lk 1:67-79 (200)"
"Vigil: Is 62:1-5/Acts 13:16-17, 22-25/Mt 1:1-25 or 1:18-25 (13)"
Acts 6:8-10; 7:54-59/Mt 10:17-22 (696)
"1 Jn 1:1-4/Jn 20:1a, 2-8 (697)"
1 Jn 1:5—2:2/Mt 2:13-18 (698)
"Sir 3:2-6, 12-14/Col 3:12-21 or 3:12-17/Lk 2:41-52"
1 Jn 2:12-17/Lk 2:36-40 (203)
1 Jn 2:18-21/Jn 1:1-18 (204)
